image_path,label,class_name,confidence
196.jpg,0,No Endodontic Treatment,0.3313
199.jpg,0,No Endodontic Treatment,0.3496
2.jpg,0,No Endodontic Treatment,0.332
20.jpg,0,No Endodontic Treatment,0.341
201.jpg,0,No Endodontic Treatment,0.2904
202.jpg,0,No Endodontic Treatment,0.2658
203.jpg,0,No Endodontic Treatment,0.3315
204.jpg,0,No Endodontic Treatment,0.3326
205.jpg,0,No Endodontic Treatment,0.3356
207.jpg,0,No Endodontic Treatment,0.3125
208.jpg,0,No Endodontic Treatment,0.323
209.jpg,3,Total Endodontic Failure,0.3223
21.jpg,0,No Endodontic Treatment,0.3333
210.jpg,3,Total Endodontic Failure,0.3253
211.jpg,0,No Endodontic Treatment,0.3192
212.jpg,3,Total Endodontic Failure,0.3173
213.jpg,0,No Endodontic Treatment,0.3168
214.jpg,0,No Endodontic Treatment,0.3458
215.jpg,0,No Endodontic Treatment,0.3286
217.jpg,3,Total Endodontic Failure,0.2705
218.jpg,3,Total Endodontic Failure,0.3292
219.jpg,0,No Endodontic Treatment,0.3305
22.jpg,0,No Endodontic Treatment,0.3245
220.jpg,0,No Endodontic Treatment,0.3293
221.jpg,0,No Endodontic Treatment,0.3381
222.jpg,3,Total Endodontic Failure,0.3352
223.jpg,0,No Endodontic Treatment,0.3148
225.jpg,3,Total Endodontic Failure,0.3067
226.jpg,0,No Endodontic Treatment,0.3375
227.jpg,0,No Endodontic Treatment,0.3234
228.jpg,0,No Endodontic Treatment,0.3215
229.jpg,0,No Endodontic Treatment,0.2842
23.jpg,3,Total Endodontic Failure,0.3243
230.jpg,0,No Endodontic Treatment,0.285
231.jpg,0,No Endodontic Treatment,0.3091
232.jpg,0,No Endodontic Treatment,0.3125
233.jpg,0,No Endodontic Treatment,0.3133
234.jpg,0,No Endodontic Treatment,0.2972
235.jpg,0,No Endodontic Treatment,0.2923
236.jpg,0,No Endodontic Treatment,0.3092
237.jpg,0,No Endodontic Treatment,0.3111
238.jpg,0,No Endodontic Treatment,0.2402
239.jpg,0,No Endodontic Treatment,0.3118
24.jpg,3,Total Endodontic Failure,0.2907
240.jpg,0,No Endodontic Treatment,0.3097
241.jpg,0,No Endodontic Treatment,0.2709
242.jpg,0,No Endodontic Treatment,0.3462
243.jpg,0,No Endodontic Treatment,0.2922
244.jpg,0,No Endodontic Treatment,0.2977
245.jpg,0,No Endodontic Treatment,0.3157
246.jpg,0,No Endodontic Treatment,0.3333
247.jpg,0,No Endodontic Treatment,0.3269
248.jpg,0,No Endodontic Treatment,0.2651
25.jpg,0,No Endodontic Treatment,0.3435
250.jpg,0,No Endodontic Treatment,0.3336
251.jpg,0,No Endodontic Treatment,0.3181
252.jpg,0,No Endodontic Treatment,0.2739
253.jpg,0,No Endodontic Treatment,0.3018
254.jpg,0,No Endodontic Treatment,0.3184
256.jpg,0,No Endodontic Treatment,0.2301
257.jpg,0,No Endodontic Treatment,0.2968
258.jpg,0,No Endodontic Treatment,0.285
259.jpg,0,No Endodontic Treatment,0.3253
26.jpg,0,No Endodontic Treatment,0.3254
260.jpg,0,No Endodontic Treatment,0.2704
27.jpg,0,No Endodontic Treatment,0.3419
28.jpg,0,No Endodontic Treatment,0.3269
29.jpg,0,No Endodontic Treatment,0.3336
3.jpg,3,Total Endodontic Failure,0.3064
30.jpg,0,No Endodontic Treatment,0.3377
31.jpg,0,No Endodontic Treatment,0.3481
32.jpg,0,No Endodontic Treatment,0.3403
33.jpg,0,No Endodontic Treatment,0.2901
34.jpg,3,Total Endodontic Failure,0.3263
35.jpg,3,Total Endodontic Failure,0.3169
36.jpg,0,No Endodontic Treatment,0.3268
37.jpg,3,Total Endodontic Failure,0.3055
38.jpg,0,No Endodontic Treatment,0.3379
39.jpg,0,No Endodontic Treatment,0.3324
40.jpg,0,No Endodontic Treatment,0.3358
41.jpg,0,No Endodontic Treatment,0.3415
42.jpg,0,No Endodontic Treatment,0.313
43.jpg,3,Total Endodontic Failure,0.2728
44.jpg,0,No Endodontic Treatment,0.3405
45.jpg,0,No Endodontic Treatment,0.3219
46.jpg,0,No Endodontic Treatment,0.3403
48.jpg,0,No Endodontic Treatment,0.3273
49.jpg,0,No Endodontic Treatment,0.3397
5.jpg,3,Total Endodontic Failure,0.3258
50.jpg,0,No Endodontic Treatment,0.3209
51.jpg,0,No Endodontic Treatment,0.3279
52.jpg,0,No Endodontic Treatment,0.2858
53.jpg,0,No Endodontic Treatment,0.3351
54.jpg,0,No Endodontic Treatment,0.3295
55.jpg,0,No Endodontic Treatment,0.3331
56.jpg,0,No Endodontic Treatment,0.3225
57.jpg,0,No Endodontic Treatment,0.2724
58.jpg,3,Total Endodontic Failure,0.3303
59.jpg,3,Total Endodontic Failure,0.312
6.jpg,0,No Endodontic Treatment,0.3247
60.jpg,3,Total Endodontic Failure,0.2681
61.jpg,0,No Endodontic Treatment,0.2861
62.jpg,3,Total Endodontic Failure,0.2759
64.jpg,0,No Endodontic Treatment,0.3345
65.jpg,0,No Endodontic Treatment,0.3341
66.jpg,3,Total Endodontic Failure,0.3115
67.jpg,3,Total Endodontic Failure,0.2469
68.jpg,0,No Endodontic Treatment,0.2826
70.jpg,0,No Endodontic Treatment,0.3169
71.jpg,3,Total Endodontic Failure,0.2347
72.jpg,3,Total Endodontic Failure,0.3318
73.jpg,3,Total Endodontic Failure,0.2852
75.jpg,0,No Endodontic Treatment,0.275
76.jpg,3,Total Endodontic Failure,0.3385
77.jpg,3,Total Endodontic Failure,0.2875
79.jpg,3,Total Endodontic Failure,0.3169
8.jpg,0,No Endodontic Treatment,0.3391
80.jpg,3,Total Endodontic Failure,0.2674
81.jpg,0,No Endodontic Treatment,0.2926
82.jpg,0,No Endodontic Treatment,0.3402
83.jpg,3,Total Endodontic Failure,0.3103
84.jpg,0,No Endodontic Treatment,0.3155
85.jpg,0,No Endodontic Treatment,0.29
86.jpg,0,No Endodontic Treatment,0.339
87.jpg,0,No Endodontic Treatment,0.3257
88.jpg,3,Total Endodontic Failure,0.301
9.jpg,3,Total Endodontic Failure,0.3137
90.jpg,3,Total Endodontic Failure,0.2327
91.jpg,3,Total Endodontic Failure,0.313
92.jpg,3,Total Endodontic Failure,0.2792
93.jpg,0,No Endodontic Treatment,0.3184
94.jpg,3,Total Endodontic Failure,0.2943
95.jpg,0,No Endodontic Treatment,0.2627
96.jpg,0,No Endodontic Treatment,0.3062
97.jpg,3,Total Endodontic Failure,0.2713
98.jpg,0,No Endodontic Treatment,0.324
